state,zcta5,County,PctUrban,FIPS
01,35004,St. Clair AL,64.0,01115
01,35005,Jefferson AL,79.8,01073
01,35006,Jefferson AL,0.0,01073
01,35007,Shelby AL,90.5,01117
01,35010,Tallapoosa AL,45.2,01123
01,35013,Blount AL,100.0,01009
01,35014,Talladega AL,0.0,01121
01,35016,Marshall AL,47.3,01095
01,35019,Cullman AL,0.0,01043
01,35020,Jefferson AL,99.7,01073
01,35022,Jefferson AL,70.1,01073
01,35023,Jefferson AL,62.4,01073
01,35031,Blount AL,0.0,01009
01,35032,Talladega AL,100.0,01121
01,35033,Cullman AL,0.0,01043
01,35034,Bibb AL,59.9,01007
01,35035,Bibb AL,0.0,01007
01,35036,Jefferson AL,82.2,01073
01,35040,Shelby AL,78.9,01117
01,35042,Bibb AL,37.8,01007
01,35043,Shelby AL,23.5,01117
01,35044,Talladega AL,58.3,01121
01,35045,Chilton AL,38.2,01021
01,35046,Chilton AL,0.0,01021
01,35049,Blount AL,0.0,01009
01,35051,Shelby AL,30.1,01117
01,35052,St. Clair AL,0.0,01115
01,35053,Cullman AL,0.0,01043
01,35054,St. Clair AL,33.4,01115
01,35055,Cullman AL,74.1,01043
01,35057,Cullman AL,8.9,01043
01,35058,Cullman AL,21.2,01043
01,35060,Jefferson AL,96.6,01073
01,35061,Jefferson AL,100.0,01073
01,35062,Jefferson AL,22.8,01073
01,35063,Walker AL,1.7,01127
01,35064,Jefferson AL,100.0,01073
01,35068,Jefferson AL,94.5,01073
01,35070,Cullman AL,0.0,01043
01,35071,Jefferson AL,86.0,01073
01,35072,Coosa AL,0.0,01037
01,35073,Jefferson AL,56.5,01073
01,35074,Bibb AL,100.0,01007
01,35077,Cullman AL,25.1,01043
01,35078,Shelby AL,0.0,01117
01,35079,Blount AL,0.0,01009
01,35080,Shelby AL,87.5,01117
01,35083,Cullman AL,0.0,01043
01,35085,Chilton AL,0.0,01021
01,35087,Cullman AL,0.0,01043
01,35089,Coosa AL,0.0,01037
01,35091,Jefferson AL,38.2,01073
01,35094,Jefferson AL,66.7,01073
01,35096,Talladega AL,0.0,01121
01,35097,Blount AL,0.0,01009
01,35098,Cullman AL,0.0,01043
01,35111,Tuscaloosa AL,50.0,01125
01,35112,St. Clair AL,0.0,01115
01,35114,Shelby AL,95.8,01117
01,35115,Shelby AL,50.8,01117
